"","AT2_1_C01_IL3542","AT2_1_C02_IL3541","AT2_1_C05_IL3548","AT2_1_C06_IL3544","AT2_1_C07_IL3542","AT2_1_C08_IL3541","AT2_1_C09_IL3541","AT2_1_C10_IL3548","AT2_1_C11_IL3548","AT2_1_C12_IL3544","AT2_1_C13_IL3542","AT2_1_C16_IL3545","AT2_1_C17_IL3545","AT2_1_C19_IL3542","AT2_1_C20_IL3548","AT2_1_C31_IL3541","AT2_1_C32_IL3542","AT2_1_C34_IL3545","AT2_1_C38_IL3542","AT2_1_C40_IL3545","AT2_1_C41_IL3545","AT2_1_C43_IL3541","AT2_1_C50_IL3543","AT2_1_C51_IL3544","AT2_1_C53_IL3549","AT2_1_C54_IL3547","AT2_1_C56_IL3543","AT2_1_C59_IL3546","AT2_1_C62_IL3543","AT2_1_C63_IL3544","AT2_1_C65_IL3546","AT2_1_C66_IL3547","AT2_1_C67_IL3543","AT2_1_C68_IL3544","AT2_1_C70_IL3546","AT2_1_C72_IL3547","AT2_1_C76_IL3547","AT2_1_C78_IL3546","AT2_1_C80_IL3544","AT2_1_C83_IL3547","AT2_1_C89_IL3547","AT2_1_C92_IL3544","AT2_1_C93_IL3543","AT2_1_C94_IL3547","AT2_1_C96_IL3546"
"0610005C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610007C21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87834279514035,0,3.45276673468555,0,0,7.16590189227786,0,0,7.47893945724786,7.29485045911278,0,5.20346351185161,0,0,0,0,0,0,0,0,7.21424139776223,0,0,0,0,0,0,4.31379727970598,0,0
"0610007L01Rik",0,2.94394757417771,0,2.88037403405143,0,0,0,0,0,0,3.99297684527415,0,0,4.59557526834046,0,0,0,0,0,0,0,0,0,2.31697693549007,1.05077331994581,0,0,0,0,0,0,5.93555875289129,7.0815313717888,0,0,0,0,0,2.955478343017,0,3.25883848320317,0,4.91651008400145,0,0
"0610007N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47344275338879,0,7.36386316636178,0,0,0,0,0,0,0,0,0,0,0,0,5.40966926456653,0,0,0,0,0,0,0
"0610007P08Rik",3.05374389775732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610007P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,3.82193466214956,0,0,0,0,0,0,7.42618926287021,4.37911493203476,7.22945333670194,0,0,0,0,0,0,0,0,0,0,7.76507720158379,0,8.0390286957705,6.76622410500479,0,4.78949973716302,0,0,0,0,5.64503294887565,0,0
"0610007P22Rik",6.09220532345107,2.93718994394417,0,0,0,0,0,4.75444393884045,0,0,0,0,3.84110764478056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610008F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62988114109644,0,0,0,0,0
"0610009B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,5.98230684810481,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62425007070914,0,0,0,0,0,0,0,6.71309089972463,0,0,0,0,0,0,4.98702520140503,0,0
