,Adult_1_L28_C01_IL4898,Adult_1_L28_C02_IL4898,Adult_1_L28_C08_IL4898,Adult_1_L28_C10_IL4898,Adult_1_L28_C14_IL4898,Adult_1_L28_C15_IL4898,Adult_1_L28_C16_IL4898,Adult_1_L28_C17_IL4898,Adult_1_L28_C18_IL4898,Adult_1_L28_C19_IL4898,Adult_1_L28_C26_IL4898,Adult_1_L28_C31_IL4898,Adult_1_L28_C38_IL4898,Adult_1_L28_C39_IL4898,Adult_1_L28_C40_IL4898,Adult_1_L28_C45_IL4898,Adult_1_L28_C53_IL4898,Adult_1_L28_C56_IL4898,Adult_1_L28_C57_IL4898,Adult_1_L28_C58_IL4898,Adult_1_L28_C59_IL4898,Adult_1_L28_C60_IL4898,Adult_1_L28_C61_IL4898,Adult_1_L28_C62_IL4898,Adult_1_L28_C63_IL4898,Adult_1_L28_C64_IL4898,Adult_1_L28_C66_IL4898,Adult_1_L28_C68_IL4898,Adult_1_L28_C69_IL4898,Adult_1_L28_C72_IL4898,Adult_1_L28_C73_IL4898,Adult_1_L28_C74_IL4898,Adult_1_L28_C80_IL4898,Adult_1_L28_C81_IL4898,Adult_1_L28_C82_IL4898,Adult_1_L28_C87_IL4898,Adult_1_L28_C88_IL4898,Adult_1_L28_C95_IL4898,Adult_1D_L28_C33_IL4898,Adult_1p_L28_C21_IL4898,Adult_1p_L28_C51_IL4898,Adult_1pp_L28_C25_IL4898,Adult_1pp_L28_C34_IL4898,Adult_1pp_L28_C65_IL4898,Adult_1pp_L28_C67_IL4898,Adult_1pp_L28_C75_IL4898,Adult_1pp_L28_C79_IL4898
0610007C21Rik,8.376941491,6.441966444,0.46929211,0,6.700952893,9.226638575,8.057260716,7.528133693,8.78797763,7.452611907,3.374469193,3.761381024,3.004925599,8.002826265,5.280499833,7.184409242,3.067063865,2.922201655,3.497369661,6.883523069,5.333130299,8.413348671,0,5.632396191,8.904336569,5.94463125,0,4.142895345,0,6.105992292,8.022290127,6.740914072,0,0,0,8.150270256,6.351283796,8.517299318,2.216814912,0,5.216144408,5.829088444,8.670043637,9.444948609,0,0,3.316494786
0610007L01Rik,0,0,0,0,0,6.281073194,0,0.559452656,0,0,6.834369916,6.048227465,4.631546688,3.049968751,0,3.153456778,0,0.290884389,4.173783055,0,4.903250416,0,0,0,0,5.083179322,0,0,6.072528169,0,4.568895517,6.481160065,4.622344723,5.423813447,5.569755376,0,0,0,0.254231207,2.583449282,0,0,0,0,0,0,0
0610007N19Rik,3.15692402,4.569825235,7.452331857,0,5.679496989,3.608974788,4.122523638,5.797204978,6.384193171,0,4.941585251,5.886050141,5.914684105,5.109724113,6.314845137,4.132905812,2.669741131,5.735191793,6.100666544,4.594363424,1.551860501,3.170280822,2.750936593,2.909732789,3.998222587,3.963927207,7.022989148,5.305131501,0.882494371,5.355062088,3.995493564,7.273068242,7.240724561,0,6.142907595,5.333298494,1.977089384,5.727754399,3.965932009,2.184467563,0,4.764261218,2.884720989,0,0,0,1.158744182
0610007P08Rik,5.208790353,0,4.720606811,3.30004756,2.878464436,0,0,0,0,0,3.191767923,0,2.776377758,0,0,0.685204601,0,0,1.226397549,0,0,0.009289836,0,3.664471463,0,0,0,0,0,0,0,0,0,0,0,0,4.040760952,0,0.592167572,0,0,0,0,0,0,0,0
0610007P14Rik,5.989493278,0,0,6.741723143,0.06959219,1.142583349,0,0.211747376,0.306040539,0,0,3.447063384,0.884300951,0,0,3.587521014,0,0,6.955452304,0,0,0,2.141380471,4.74922317,7.602067838,3.030615055,0,6.122898381,6.453219593,0,0,0,0,0,0,0,0,0,0,6.966926447,0,0.136309528,0,0,3.187278427,0,7.92464032
0610007P22Rik,0,0,0,5.131762321,0,7.483702936,0,0,0,1.349801191,0,0,0,0,7.467026726,0,0,0,4.371914265,0,0,0,0,0,1.895895866,0,0,0,0,0,0,0,5.567685378,0,0,0,0,0,5.752737889,0,2.370479574,0,0,0,0,6.887634931,0
0610009B14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610009B22Rik,4.236316576,3.846723968,0,0,0,0,3.025480674,0,0,4.661812295,5.537150051,0,6.374081372,0,0,0,0,0,4.525843373,0,2.485060955,0,5.320921464,0,0,0,0,0,5.072071491,0,4.274813284,0,0,0,5.355375765,0,0,0,0,0,4.626590991,0,0,0,7.143291368,0,0
0610009D07Rik,5.219052326,7.035953757,2.001560873,6.959399235,6.911943193,1.835669459,3.382404418,1.319953137,2.735387866,2.022204446,4.806329214,7.267432798,4.313920597,4.309270792,0,4.993850952,3.790302877,4.305831934,2.344993205,0,1.56865965,0,6.606676144,2.944091928,0,0,1.820326033,5.266078135,0.381183682,0,5.279627294,4.747382028,6.548883544,0,5.9137176,8.309767365,3.662045951,0.897426318,0,5.535710841,7.06978808,6.026720399,4.255810388,0,6.307718128,0,1.922829603
0610009L18Rik,0,0,0,0,0,0,0,0,0,0,0,3.016590809,0,0,0,0,1.650746181,0,0,0,4.249809382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610009O20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315682151,0,0,0,0,0,0,0,3.1924751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.063153443
0610010B08Rik,0,1.982517236,0,0,0,0,0,0,2.151595835,0,0,0,0,0,0,0,0,0,0,1.033560436,0,0,0,0,0,0,0,0,0,1.957457766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,0.292345931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8623522,0,0,0,0,0,0,5.65978188,0,5.78239808,0,0
0610010K14Rik,0,0,4.26440882,0,6.185920051,0,0,6.030230124,0,0,0,0,4.502642481,6.83362383,5.305448927,0,0,0,0,0,0,0,0,0,0,0,1.190532689,0,4.26391328,0,2.43620449,0,0,0,5.420179198,0,0,0,3.120215893,0,0,0,0,0,4.428718603,0,0
0610010O12Rik,0,0,0,4.343237247,0,0,0,0,0,0,4.851614134,0,4.844732123,2.881709642,4.126749895,0,0,0,5.455346949,0,0,3.140093131,5.472247302,0,0,0,0,0,0,0,0,0,0,0,4.925448811,0,0,0,0,0,3.260094928,0,0,0,2.753572448,0,0
