"","1_L25_C01_IL4625","1_L25_C04_IL4625","1_L25_C06_IL4625","1_L25_C08_IL4625","1_L25_C10_IL4625","1_L25_C17_IL4625","1_L25_C19_IL4625","1_L25_C20_IL4625","1_L25_C23_IL4625","1_L25_C26_IL4625","1_L25_C31_IL4625","1_L25_C34_IL4625","1_L25_C36_IL4625","1_L25_C39_IL4625","1_L25_C42_IL4625","1_L25_C45_IL4625","1_L25_C47_IL4625","1_L25_C50_IL4625","1_L25_C51_IL4625","1_L25_C54_IL4625","1_L25_C56_IL4625","1_L25_C62_IL4625","1_L25_C64_IL4625","1_L25_C67_IL4625","1_L25_C68_IL4625","1_L25_C69_IL4625","1_L25_C70_IL4625","1_L25_C72_IL4625","1_L25_C73_IL4625","1_L25_C76_IL4625","1_L25_C78_IL4625","1_L25_C79_IL4625","1_L25_C80_IL4625","1_L25_C82_IL4625","1_L25_C83_IL4625","1_L25_C85_IL4625","1_L25_C88_IL4625","1_L25_C89_IL4625","1_L25_C93_IL4625","1_L25_C94_IL4625","1_L25_C95_IL4625","1_L25_C96_IL4625"
"0610005C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610007C21Rik",71.8506,0,0,147.535,0,0,0.671344,75.8064,0,0,17.1837,0,0,310.262,28.1986,0,419.231,0,97.8166,0,0,2.87375,0,8.77298,699.237,0.348568,0,0.32582,0,0,0,0,0,0,134.979,0,0,0,0,0,0,0
"0610007L01Rik",0,0,0,0.509908,0,18.2386,115.078,16.7806,0,0,0,0,0,0.137999,0,0,0,0,0,0,0,0,0,0,0.0835721,0,0,0,0,0,0,0,33.7431,0,13.7705,0,0,0,0,0,0,0
"0610007N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,20.1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5492,0,0,0,0,0
"0610007P08Rik",0.197449,0,0.100155,0,0,0,0,0,0,0,0.0540787,0,0.254853,0,0,0,0.132932,0,3.44982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2533,0,0,0,0,0,0,0
"0610007P14Rik",0,0,0,0,0,0,0,0,0,0,20.3498,119.103,120.553,124.991,178.853,27.14,0,51.5144,64.0883,0,607.326,0,0,0,0,0,0,0,0,0,0,0,0,0,130.003,0,0,0.243051,0,0,0,0
"0610007P22Rik",0,127.29,0,2.08233,0,0,129.185,0,0,30.4895,0,0,0.326569,16.7898,0,0,0,0,0,0,459.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610008F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B22Rik",357.57,3.17748,2.52875,1.94149,5.81946,0,0.856269,39.8153,95.7568,1.45368,134.851,33.8079,2.11594,0,0,31.7361,0.555849,0,0,22.7003,0,0,0,0,0.4764,0,0,0,0,0,0,0,0,0,0,0,0.493032,0,0,0,0,0
"0610009D07Rik",0.27072,55.2913,0,0,0,136.68,0,62.3832,0.285652,39.1439,228.36,68.2986,1.0388,19.9655,73.0436,0,0,169.822,2.93289,0.835028,0,0,0,0,0,74.6156,0,118.545,0,0,0,0,138.912,0,74.8354,0,0,0,0,0,0,0
"0610009L18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009O20Rik",0,0,0,0,0,0,0,0.100532,0,0.132735,0,14.9433,59.8649,0,0,0,0,86.9847,36.172,0,0,0,0,0,0,0.121565,0,15.4045,0,0,0,0,0,0,0.215859,0,0,0.108692,0,2.52401e-09,0,0
"0610010B08Rik",6.3247e-14,3.05086e-08,5.90213e-14,5.95699e-08,5.86614e-13,0,2.89187e-14,0,0,0,9.24473e-14,1.86955e-12,0,0.00413042,0,3.06762e-13,1.80256e-13,0,1.5777e-14,2.01624e-14,0,0,0,0,0,2.43008e-09,0.780041,1.16243e-12,0,1.35599e-16,0,0,1.56938e-13,1.07554e-12,5.5145e-08,0,1.59928e-14,0,0,1.72351e-15,0,0
"0610010F05Rik",1.07005,0.791472,0.447152,1.39639,0.889835,0.170853,0.39215,0.281219,0.602624,0.446572,0.368352,0.267867,0.244195,0.119388,7.4454,0.12511,0,0,0,22.5992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17663,0,0,0,0,0,0,0
"0610010K14Rik",0,399.316,210.068,0.497883,0,180.729,74.2016,214.538,166.792,0,16.5127,78.6124,0,22.1108,54.5056,497.764,199.873,0,58.5415,73.0973,0,0,0,503.9,207.809,280.324,4.82893,0,0,0,0,308.074,65.4646,0,0,0,0,0,0.622256,0,281.766,0
"0610010O12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,60.3462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610011F06Rik",0,0,0,0,0,0,0,0,0,0,0,4.70466,0,0,0,0,0,0,15.4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610011L14Rik",0,0.443005,0.155002,0.17834,0.989299,0.207243,0.237823,0.136489,0.568438,0.270763,0.089397,0.162455,0.0986975,0.289557,0,0.227786,0.617464,0,0.0826517,0,0,0,0,0.183587,0,0,0,0.0763151,0,0,0,0,0,0,0,0,0,0,0,0,0.100124,0
"0610012G03Rik",0,0.187677,1.77975,73.5146,0,0,0,0,0,0,0,0,0,4.78222,73.1866,30.3418,3.92939,0,5.07087,0,0,0,0,0,0,0.629951,0,0,0,0,0,0,0,0,8.96196,0,0,0,0,0,0,0
"0610012H03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610031J06Rik",0,0,0,0,0.217577,28.4395,0.383763,16.4036,0,0,1.08608,2.94997,8.10249,0,0,0,0,50.2249,0,0,0,0,674.071,66.6363,0,40.6406,0,112.439,0,22.6489,33.7366,548.056,0,0,238.97,0,0,0,0,141.507,0,0
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",0,0.17665,0,0,372.533,85.3492,0,0,0,0,168.137,0,0,34.9725,0,63.3864,0,0,18.4849,12.6478,0.256779,0,0,0,0,49.9083,4.64714,51.4626,0,0,0,0,0,6.31453,0,0,0,0,0,0,0,0
"0610037P05Rik",3.65282,1.95138,0.411326,0.473424,2.61697,0.914755,0.839307,0.906392,1.50287,0.953441,1.18838,0.430134,0.260493,0.191238,0.438756,0.202334,1.90679,0.199506,155.266,176.55,0,0,0,3.65031,6.04802,244.522,0,0,0,0.21908,0,0.205696,0,0.449798,73.7123,0,0,0,0,0,0,0
"0610038B21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610038L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99231e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",7.71058e-10,5.54304e-09,0,0,0,0,6.72822e-11,0,0,0,0,0,0,0,0,7.24675e-10,0,0,0,0,0,0,0,0,2.56998e-11,0,0,0,0,0,0,0,0,0,0,0,1.28755e-08,0,0,0,0,0
"0610040B10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35561e-10,0,0,0,0,0,0,0,0,0
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610043K17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0910001L09Rik",109.7,0,0,0,0,58.2026,0,6.54154,0,0,0,0,3.26305,71.7826,0,0,0,0,0,0,40.3509,210.211,0,7.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341112,0,0
"100043387",0.432246,0,0.150191,0,0.0255993,0,0.186796,0,0,0,0.10867,0.0292257,0.112176,0.119033,0,0.00966033,0.105048,0,0.439701,1.51532,0,0,0,0,0,5.56429,5.9817,0.0174426,0,229.95,0.0299946,0,0.062363,0.0161484,1.50056,0,0.414223,0,0,1.44618,0,0
"1100001G20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110001A16Rik",0,0,0,0,0,0,0,16.0469,0,0,37.608,0,0,0,0,0.447385,0,0,2.34564,0,6.6616,31.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110001J03Rik",0,0,65.0075,0,0,114.56,0,0,0,0,16.7491,0,0,169.754,0,36.1071,0,11.0966,0,0,441.503,0,0,0,0,0,0,0,0,1.05487,0,0,0,0,0,0,0,0,0,0,0,0
"1110002B05Rik",0.852915,4.30393,131.589,2.48701,4.74782,1.92181,377.989,11.6187,3.15693,2.25296,176.069,57.6076,2.73559,1.00423,186.49,10.6324,4.57806,0.209655,387.499,74.7704,0.298131,0,1.2055,23.2643,0.488768,0.687865,42.824,97.8313,0.408369,267.331,299.203,0.431943,0.202958,0.472284,0,0.91118,0.505852,0.823551,0.260362,0.399029,0.279012,0.479799
"1110002L01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0.15162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77193e-06,0.245411,0,0,0.53765,0,0,0,0,0,0,0
"1110002N22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110003E01Rik",0,0,0,0,0,86.4309,0,0.117602,0,0,0,0,0,137.575,0,45.6622,0,80.6734,0.142492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5073,0,0,0.127143,0.161409,0,0,0
"1110004E09Rik",300.899,0,0,0,0,0,0,0,0,0,0,0,0,50.7137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110004F10Rik",104.981,3.17896,91.1,128.477,4.36026,1.67658,1.92284,64.7947,3.06039,1.69881,38.6048,5.25569,0.530433,0.389423,113.824,72.0182,99.5729,231.313,7.60924,17.851,2.02281,1.56694,0.467475,0.991195,6.39547,3.33431,0.307506,0.82626,0.395858,0,0,0.209411,0,0.228964,0,0,21.9408,0,0.252421,143.698,8.38344,0
